Segment,Country,Product,Discount Band, Units Sold ,Manufacturing Price,Sale Price,Sales,COGS,Profit,Date,%Profit
Channel Partners,Singapore,Gula Gulaku,None," 1,216 ","Rp 21,100","Rp 26,375","Rp 32,072,000","Rp 25,657,600","Rp 6,414,400",1 Jan 2025,20%
Channel Partners,Laos,Ultra Milk,None," 1,734 ","Rp 9,900","Rp 12,375","Rp 21,458,250","Rp 17,166,600","Rp 4,291,650",6 Jan 2025,20%
Channel Partners,Brunei,Teh Botol,None, 267 ,"Rp 9,800","Rp 12,250","Rp 3,270,750","Rp 2,616,600","Rp 654,150",10 Jan 2025,20%
Channel Partners,Laos,Biskuat,None," 2,129 ","Rp 23,800","Rp 29,750","Rp 63,337,750","Rp 50,670,200","Rp 12,667,550",12 Jan 2025,20%
Channel Partners,Indonesia,Indomie,None," 2,701 ","Rp 21,100","Rp 26,375","Rp 71,238,875","Rp 56,991,100","Rp 14,247,775",14 Jan 2025,20%
Channel Partners,Philippines,Indomie,None," 1,596 ","Rp 22,500","Rp 28,125","Rp 44,887,500","Rp 35,910,000","Rp 8,977,500",14 Jan 2025,20%
Channel Partners,Brunei,Teh Botol,None, 507 ,"Rp 10,700","Rp 13,375","Rp 6,781,125","Rp 5,424,900","Rp 1,356,225",16 Jan 2025,20%
Channel Partners,Indonesia,Biskuat,None, 519 ,"Rp 18,200","Rp 22,750","Rp 11,807,250","Rp 9,445,800","Rp 2,361,450",17 Jan 2025,20%
Channel Partners,Indonesia,Sari Roti,None," 2,745 ","Rp 8,700","Rp 10,875","Rp 29,851,875","Rp 23,881,500","Rp 5,970,375",18 Jan 2025,20%
Channel Partners,Philippines,Tango,None," 1,331 ","Rp 14,600","Rp 18,250","Rp 24,290,750","Rp 19,432,600","Rp 4,858,150",18 Jan 2025,20%
Channel Partners,Thailand,Ultra Milk,None, 808 ,"Rp 16,400","Rp 20,500","Rp 16,564,000","Rp 13,251,200","Rp 3,312,800",21 Jan 2025,20%
Channel Partners,Vietnam,Indomie,None, 470 ,"Rp 6,400","Rp 8,000","Rp 3,760,000","Rp 3,008,000","Rp 752,000",22 Jan 2025,20%
Channel Partners,Cambodia,Ultra Milk,None, 140 ,"Rp 14,100","Rp 17,625","Rp 2,467,500","Rp 1,974,000","Rp 493,500",22 Jan 2025,20%
Channel Partners,Vietnam,Gula Gulaku,None," 1,408 ","Rp 13,800","Rp 17,250","Rp 24,288,000","Rp 19,430,400","Rp 4,857,600",23 Jan 2025,20%
Channel Partners,Philippines,Biskuat,None," 1,865 ","Rp 15,900","Rp 19,875","Rp 37,066,875","Rp 29,653,500","Rp 7,413,375",25 Jan 2025,20%
Channel Partners,Brunei,Tango,None, 708 ,"Rp 8,400","Rp 10,500","Rp 7,434,000","Rp 5,947,200","Rp 1,486,800",26 Jan 2025,20%
Channel Partners,Laos,Gula Gulaku,None," 1,636 ","Rp 19,500","Rp 24,375","Rp 39,877,500","Rp 31,902,000","Rp 7,975,500",27 Jan 2025,20%
Channel Partners,Myanmar,Aqua,None," 2,582 ","Rp 14,100","Rp 17,625","Rp 45,507,750","Rp 36,406,200","Rp 9,101,550",27 Jan 2025,20%
Channel Partners,Cambodia,Biskuat,None, 930 ,"Rp 24,300","Rp 30,375","Rp 28,248,750","Rp 22,599,000","Rp 5,649,750",29 Jan 2025,20%
Channel Partners,Brunei,Tango,None," 2,282 ","Rp 3,800","Rp 4,750","Rp 10,839,500","Rp 8,671,600","Rp 2,167,900",31 Jan 2025,20%
Channel Partners,Philippines,Teh Botol,None," 2,455 ","Rp 17,200","Rp 21,500","Rp 52,782,500","Rp 42,226,000","Rp 10,556,500",31 Jan 2025,20%
Channel Partners,Brunei,Aqua,None, 257 ,"Rp 17,700","Rp 22,125","Rp 5,686,125","Rp 4,548,900","Rp 1,137,225",5 Feb 2025,20%
Channel Partners,Vietnam,Aqua,None," 2,753 ","Rp 10,900","Rp 13,625","Rp 37,509,625","Rp 30,007,700","Rp 7,501,925",7 Feb 2025,20%
Channel Partners,Cambodia,Biskuat,None," 1,604 ","Rp 8,700","Rp 10,875","Rp 17,443,500","Rp 13,954,800","Rp 3,488,700",9 Feb 2025,20%
Channel Partners,Singapore,Indomie,None," 1,054 ","Rp 2,600","Rp 3,250","Rp 3,425,500","Rp 2,740,400","Rp 685,100",9 Feb 2025,20%
Channel Partners,Singapore,Nugget Fiesta,None," 1,511 ","Rp 5,800","Rp 7,250","Rp 10,954,750","Rp 8,763,800","Rp 2,190,950",12 Feb 2025,20%
Channel Partners,Philippines,Tango,None," 2,175 ","Rp 2,200","Rp 2,750","Rp 5,981,250","Rp 4,785,000","Rp 1,196,250",14 Feb 2025,20%
Channel Partners,Vietnam,Gula Gulaku,None," 1,952 ","Rp 21,000","Rp 26,250","Rp 51,240,000","Rp 40,992,000","Rp 10,248,000",15 Feb 2025,20%
